"year","alive"
"1973","703"
"1974","1036"
"1975","1203"
"1976","1306"
"1977","1301"
"1978","1407"
"1979","1489"
"1980","1645"
"1981","1801"
"1982","2035"
"1983","2355"
"1984","2755"
"1985","3422"
"1986","3962"
"1987","4736"
"1988","5288"
"1989","5435"
"1990","6149"
"1991","6842"
"1992","7564"
"1993","7939"
"1994","8834"
"1995","9743"
"1996","10676"
"1997","12115"
"1998","13676"
"1999","14737"
"2000","15217"
"2001","16394"
"2002","17251"
"2003","17114"
"2004","18150"
"2005","18999"
"2006","20190"
"2007","21826"
"2008","23235"
"2009","24851"
"2010","25014"
"2011","27051"
