"name","year","alive"
"Breast","1973","703"
"Breast","1974","1036"
"Breast","1975","1203"
"Breast","1976","1306"
"Breast","1977","1301"
"Breast","1978","1407"
"Breast","1979","1489"
"Breast","1980","1645"
"Breast","1981","1801"
"Breast","1982","2035"
"Breast","1983","2355"
"Breast","1984","2755"
"Breast","1985","3422"
"Breast","1986","3962"
"Breast","1987","4736"
"Breast","1988","5288"
"Breast","1989","5435"
"Breast","1990","6149"
"Breast","1991","6842"
"Breast","1992","7564"
"Breast","1993","7939"
"Breast","1994","8834"
"Breast","1995","9743"
"Breast","1996","10676"
"Breast","1997","12115"
"Breast","1998","13676"
"Breast","1999","14737"
"Breast","2000","15217"
"Breast","2001","16394"
"Breast","2002","17251"
"Breast","2003","17114"
"Breast","2004","18150"
"Breast","2005","18999"
"Breast","2006","20190"
"Breast","2007","21826"
"Breast","2008","23235"
"Breast","2009","24851"
"Breast","2010","25014"
"Breast","2011","27051"
