"year","count"
"1973","7562"
"1974","10016"
"1975","10237"
"1976","10024"
"1977","9963"
"1978","10128"
"1979","10520"
"1980","10745"
"1981","11333"
"1982","11537"
"1983","12320"
"1984","13246"
"1985","14639"
"1986","15417"
"1987","16964"
"1988","16922"
"1989","16590"
"1990","17683"
"1991","18282"
"1992","18664"
"1993","18581"
"1994","19303"
"1995","20160"
"1996","20710"
"1997","22064"
"1998","23519"
"1999","23872"
"2000","23596"
"2001","24425"
"2002","24410"
"2003","23324"
"2004","23946"
"2005","24036"
"2006","24529"
"2007","25540"
"2008","26237"
"2009","27162"
"2010","26441"
"2011","27671"
